"13600: Framskrevet folkemengde 1. januar, etter statistikkvariabel, region, alder og år"

"statistikkvariabel";"region";"alder";"2022";"2023";"2024";"2025";"2026";"2027";"2028";"2029";"2030";"2031";"2032";"2033";"2034";"2035"
"Hovedalternativet (MMMM)";"3407 Gjøvik";"0-17 år";5571;5542;5485;5431;5375;5323;5296;5254;5243;5215;5233;5225;5245;5243
"Hovedalternativet (MMMM)";"3407 Gjøvik";"18-49 år";12374;12428;12447;12445;12469;12487;12546;12608;12667;12732;12736;12737;12737;12761
"Hovedalternativet (MMMM)";"3407 Gjøvik";"50-66 år";6694;6689;6711;6690;6699;6726;6700;6686;6648;6596;6562;6547;6516;6493
"Hovedalternativet (MMMM)";"3407 Gjøvik";"67-79 år";4075;4122;4131;4180;4168;4147;4163;4179;4192;4221;4247;4304;4337;4366
"Hovedalternativet (MMMM)";"3407 Gjøvik";"80-89 år";1254;1308;1420;1505;1614;1717;1804;1874;1947;2002;2074;2100;2125;2154
"Hovedalternativet (MMMM)";"3407 Gjøvik";"90 år og eldre";299;310;299;297;298;317;317;333;342;374;385;417;462;495
"Hovedalternativet (MMMM)";"3802 Holmestrand";"0-17 år";5161;5236;5272;5291;5310;5286;5263;5240;5245;5234;5227;5206;5217;5196
"Hovedalternativet (MMMM)";"3802 Holmestrand";"18-49 år";10101;10362;10518;10604;10664;10752;10765;10833;10865;10883;10930;10956;10965;11001
"Hovedalternativet (MMMM)";"3802 Holmestrand";"50-66 år";5870;6020;6218;6378;6509;6565;6640;6660;6681;6751;6766;6785;6819;6827
"Hovedalternativet (MMMM)";"3802 Holmestrand";"67-79 år";3428;3533;3600;3643;3694;3751;3807;3854;3919;3963;4039;4143;4215;4312
"Hovedalternativet (MMMM)";"3802 Holmestrand";"80-89 år";916;974;1051;1149;1231;1329;1427;1511;1595;1672;1745;1805;1854;1892
"Hovedalternativet (MMMM)";"3802 Holmestrand";"90 år og eldre";205;197;184;189;190;198;204;230;244;262;270;291;319;360
"Hovedalternativet (MMMM)";"3803 Tønsberg";"0-17 år";11617;11642;11632;11558;11480;11406;11360;11300;11240;11199;11168;11163;11152;11150
"Hovedalternativet (MMMM)";"3803 Tønsberg";"18-49 år";23729;23903;24074;24169;24247;24314;24319;24328;24366;24341;24325;24315;24324;24306
"Hovedalternativet (MMMM)";"3803 Tønsberg";"50-66 år";12886;13129;13308;13417;13524;13596;13637;13676;13684;13728;13765;13745;13705;13685
"Hovedalternativet (MMMM)";"3803 Tønsberg";"67-79 år";6846;7090;7259;7427;7543;7637;7758;7909;8096;8272;8452;8654;8833;9019
"Hovedalternativet (MMMM)";"3803 Tønsberg";"80-89 år";2215;2241;2330;2466;2638;2822;3003;3169;3289;3412;3547;3664;3796;3887
"Hovedalternativet (MMMM)";"3803 Tønsberg";"90 år og eldre";501;520;505;507;503;516;535;552;579;617;622;645;678;740
"Hovedalternativet (MMMM)";"3806 Porsgrunn";"0-17 år";7055;7032;6994;6958;6915;6861;6813;6727;6692;6655;6636;6617;6599;6577
"Hovedalternativet (MMMM)";"3806 Porsgrunn";"18-49 år";14488;14519;14530;14467;14448;14462;14507;14550;14562;14590;14574;14565;14573;14582
"Hovedalternativet (MMMM)";"3806 Porsgrunn";"50-66 år";8405;8481;8490;8519;8538;8557;8523;8550;8564;8522;8487;8442;8376;8320
"Hovedalternativet (MMMM)";"3806 Porsgrunn";"67-79 år";4868;4935;5029;5079;5114;5128;5154;5182;5215;5279;5355;5444;5512;5585
"Hovedalternativet (MMMM)";"3806 Porsgrunn";"80-89 år";1477;1557;1658;1786;1896;1999;2106;2194;2269;2345;2435;2489;2561;2606
"Hovedalternativet (MMMM)";"3806 Porsgrunn";"90 år og eldre";331;334;322;317;324;344;367;386;402;426;438;472;510;562
"Hovedalternativet (MMMM)";"3807 Skien";"0-17 år";11104;11082;11029;10965;10905;10817;10713;10648;10576;10499;10452;10418;10391;10373
"Hovedalternativet (MMMM)";"3807 Skien";"18-49 år";21809;21822;21807;21737;21724;21742;21799;21833;21878;21920;21902;21881;21891;21881
"Hovedalternativet (MMMM)";"3807 Skien";"50-66 år";12638;12714;12768;12854;12827;12843;12895;12909;12877;12816;12804;12729;12615;12539
"Hovedalternativet (MMMM)";"3807 Skien";"67-79 år";7318;7502;7635;7675;7730;7675;7645;7675;7740;7844;7952;8101;8253;8403
"Hovedalternativet (MMMM)";"3807 Skien";"80-89 år";2154;2244;2388;2583;2799;3081;3268;3392;3529;3668;3786;3883;3950;3974
"Hovedalternativet (MMMM)";"3807 Skien";"90 år og eldre";490;498;504;505;516;524;539;578;609;631;645;688;755;837
"Hovedalternativet (MMMM)";"4204 Kristiansand";"0-17 år";24511;24715;24818;24712;24725;24633;24506;24476;24446;24437;24491;24611;24713;24760
"Hovedalternativet (MMMM)";"4204 Kristiansand";"18-49 år";49891;50391;50782;51111;51402;51774;52270;52544;52860;53051;53228;53302;53406;53541
"Hovedalternativet (MMMM)";"4204 Kristiansand";"50-66 år";23011;23348;23568;23966;24136;24336;24369;24599;24735;24874;24933;25022;25108;25261
"Hovedalternativet (MMMM)";"4204 Kristiansand";"67-79 år";11739;12065;12384;12501;12788;12923;13152;13339;13644;13977;14379;14693;14990;15235
"Hovedalternativet (MMMM)";"4204 Kristiansand";"80-89 år";3731;3838;4036;4266;4491;4824;5107;5365;5516;5752;5910;6146;6337;6512
"Hovedalternativet (MMMM)";"4204 Kristiansand";"90 år og eldre";854;890;907;934;919;930;961;985;1042;1075;1131;1191;1291;1400
"Hovedalternativet (MMMM)";"1103 Stavanger";"0-17 år";31325;31411;31391;31070;30781;30483;30174;29831;29519;29263;29052;28918;28739;28598
"Hovedalternativet (MMMM)";"1103 Stavanger";"18-49 år";64813;65073;64910;64662;64538;64478;64529;64610;64619;64563;64488;64306;64215;64069
"Hovedalternativet (MMMM)";"1103 Stavanger";"50-66 år";29419;29720;30136;30369;30550;30763;30917;31102;31286;31439;31530;31652;31736;31796
"Hovedalternativet (MMMM)";"1103 Stavanger";"67-79 år";14050;14571;14939;15307;15651;15939;16252;16593;16972;17296;17739;18064;18383;18727
"Hovedalternativet (MMMM)";"1103 Stavanger";"80-89 år";4029;4189;4441;4757;5094;5462;5852;6147;6444;6807;7055;7384;7673;7928
"Hovedalternativet (MMMM)";"1103 Stavanger";"90 år og eldre";1063;1059;1022;1014;1006;1023;1020;1066;1106;1157;1218;1299;1406;1548
"Hovedalternativet (MMMM)";"1106 Haugesund";"0-17 år";7487;7453;7406;7321;7251;7142;7064;6977;6909;6841;6789;6766;6718;6700
"Hovedalternativet (MMMM)";"1106 Haugesund";"18-49 år";16036;16100;16071;15998;15923;15902;15863;15803;15729;15678;15635;15552;15497;15449
"Hovedalternativet (MMMM)";"1106 Haugesund";"50-66 år";8048;8187;8338;8440;8515;8598;8659;8775;8887;8966;9003;9044;9055;9020
"Hovedalternativet (MMMM)";"1106 Haugesund";"67-79 år";4274;4379;4480;4573;4664;4717;4748;4802;4826;4849;4935;5001;5092;5203
"Hovedalternativet (MMMM)";"1106 Haugesund";"80-89 år";1268;1320;1388;1474;1557;1664;1800;1882;1989;2099;2160;2242;2329;2387
"Hovedalternativet (MMMM)";"1106 Haugesund";"90 år og eldre";331;335;313;308;319;319;317;326;339;358;380;406;428;466
"Hovedalternativet (MMMM)";"4601 Bergen";"0-17 år";55588;55723;55607;55336;55159;54905;54740;54627;54632;54683;54817;54994;55044;55084
"Hovedalternativet (MMMM)";"4601 Bergen";"18-49 år";134116;135353;136105;136350;136433;136859;137300;137591;137808;137956;138038;137948;138204;138404
"Hovedalternativet (MMMM)";"4601 Bergen";"50-66 år";56369;57160;57742;58200;58643;58740;58875;59072;59209;59387;59575;59864;59836;59812
"Hovedalternativet (MMMM)";"4601 Bergen";"67-79 år";28459;29128;29793;30251;30726;30993;31276;31823;32443;33007;33705;34290;34999;35706
"Hovedalternativet (MMMM)";"4601 Bergen";"80-89 år";9780;10001;10377;10872;11488;12391;13105;13613;14100;14596;14995;15450;15804;16100
